State wise scores of individual parameters,Quality of Road Infrastructure,Quality of Rail Infrastructure,Quality of Multi-Modal Terminal Infrastructure,Quality of Unimodal Terminal Infrastructure,Quality ofWarehousing Infrastructure,Quality of Logistics Services,Capability of Logistics Service Providers,Reasonableness of Road Freight Rates,Reasonableness of Prices of Terminal Services,Timeliness of Cargo Delivery (Transportation),Timeliness of Cargo Delivery (Terminal Services),Availability of Mobile/ Internet Connectivity,Safety and Security during Transportation,Safety and Security at Terminals,Extent of Facilitation,Ease of Obtaining all Approvals,Efficiency of Regulatory,Range scaled Ease of Doing Business ranks,Trade Infrastructure for Export Scheme outlay,States logistics enabling initiatives,Assessment of variables of logistics ease,Final Score
Gujarat,3.9,3.6,3.8,3.5,3.6,3.7,3.6,2.4,2.4,3.6,3.7,3.5,3.6,3.7,3.4,3.5,3.4,2.0,1.0,5.0,3.1,3.7
Haryana,3.7,3.7,3.8,3.5,3.7,3.7,3.8,2.7,2.6,3.7,3.7,3.6,3.6,3.7,3.3,3.2,3.4,3.0,1.0,1.0,3.4,3.5
Punjab,3.9,3.9,4.0,3.6,3.7,3.9,3.9,2.7,2.8,3.6,3.8,3.9,3.9,3.9,3.3,3.3,3.2,3.0,1.0,3.0,3.8,3.5
TamilNadu,3.7,3.3,3.5,3.2,3.5,3.7,3.7,2.5,2.6,3.6,3.5,3.7,3.8,3.7,3.1,3.2,3.2,2.0,5.0,2.0,3.4,3.4
Maharashtra,3.4,3.5,3.5,3.3,3.5,3.7,3.7,2.2,2.2,3.5,3.5,3.5,3.5,3.6,3.2,3.2,3.2,2.0,2.0,4.0,3.2,3.3
UttarPradesh,3.5,3.5,3.5,3.3,3.2,3.5,3.5,2.5,2.5,3.5,3.4,3.5,3.3,3.6,3.2,3.0,3.3,5.0,1.0,5.0,3.9,3.3
Odisha,3.3,3.0,3.3,2.9,2.8,3.5,3.5,2.1,2.4,3.2,3.7,3.6,3.0,3.5,3.2,3.0,3.0,1.0,1.0,2.0,3.7,3.2
Karnataka,3.5,3.3,3.4,3.1,3.5,3.5,3.5,2.4,2.5,3.6,3.5,3.4,3.7,3.7,3.1,3.1,3.1,3.0,2.0,5.0,3.3,3.2
AndhraPradesh,3.6,3.3,3.4,2.9,3.3,3.6,3.5,2.4,2.5,3.5,3.5,3.6,3.6,3.8,3.0,2.9,2.9,5.0,5.0,3.0,3.2,3.2
Telangana,3.5,3.1,3.5,2.9,3.2,3.5,3.6,2.3,2.4,3.7,3.7,3.7,3.8,3.9,2.9,3.0,3.0,5.0,1.0,5.0,3.0,3.1
Chhattisgarh,3.3,3.3,3.2,3.2,3.3,3.3,3.4,2.5,2.4,3.3,3.2,3.1,3.2,3.4,3.3,3.3,3.2,5.0,1.0,5.0,3.0,3.1
Jharkhand,2.9,3.1,2.9,3.0,3.1,3.2,3.3,2.6,2.6,3.0,3.1,2.8,2.7,2.9,3.2,3.2,3.2,5.0,3.0,2.0,3.1,3.1
Uttarakhand,3.0,3.0,3.1,3.1,3.2,3.3,3.2,2.2,2.6,3.1,3.1,3.3,3.5,3.6,2.8,3.0,3.0,2.0,1.0,5.0,2.3,3.1
Kerala,3.0,2.9,3.4,2.9,2.9,3.5,3.5,2.3,2.2,3.4,3.7,3.7,3.9,3.9,3.0,2.9,3.0,1.0,4.0,4.0,3.7,3.1
WestBengal,3.0,3.4,3.3,2.9,3.0,3.2,3.5,2.4,2.6,3.2,3.2,3.3,3.1,3.3,2.6,2.6,2.9,2.0,2.0,4.0,3.3,3.0
Rajasthan,3.2,3.0,2.9,2.7,2.9,3.2,3.4,2.7,2.6,3.2,3.2,3.5,3.2,3.5,2.2,2.5,2.8,2.0,1.0,3.0,3.4,3.0
MadhyaPradesh,3.1,3.1,2.8,2.6,2.7,3.0,2.9,2.2,2.4,2.9,3.1,3.3,2.8,3.4,2.6,2.6,2.8,5.0,4.0,4.0,3.7,2.9
Goa,3.1,3.0,3.0,2.8,2.9,3.0,3.1,2.5,2.7,3.1,3.2,3.0,3.3,3.2,3.1,3.3,3.1,2.0,1.0,3.0,2.3,2.8
Bihar,2.8,2.9,2.5,2.6,2.5,2.6,2.8,2.2,2.3,2.8,2.8,3.0,2.6,2.9,2.4,2.4,2.5,2.0,1.0,3.0,3.2,2.8
HimachalPradesh,3.5,2.3,2.8,2.9,2.9,2.9,3.0,1.8,2.0,3.0,2.9,3.3,3.3,3.4,2.7,2.6,2.6,5.0,3.0,3.0,2.8,2.8
Assam,2.6,2.7,2.5,2.4,2.5,2.7,2.9,2.0,2.2,2.5,2.7,2.7,2.7,2.9,2.4,2.3,2.4,3.0,3.0,4.0,3.7,2.6
Jammu Kasmhir,2.5,2.2,2.4,2.6,2.5,2.7,2.6,1.7,1.6,2.8,2.9,2.7,3.1,3.0,2.6,2.6,2.8,3.0,1.0,4.0,3.6,2.6
Sikkim,2.3,1.8,2.1,2.3,2.3,2.2,2.3,1.6,1.9,2.6,2.2,2.4,2.5,2.8,2.2,2.2,2.5,1.0,3.0,1.0,2.3,2.6
Meghalaya,2.1,1.9,1.8,1.9,2.3,2.2,2.3,1.6,1.7,2.1,2.1,2.1,2.4,2.7,1.8,1.8,2.0,1.0,1.0,2.0,2.7,2.5
Tripura,2.4,2.0,1.8,2.2,2.2,2.1,2.3,1.4,1.7,2.2,2.1,2.5,2.6,2.9,1.9,2.0,2.3,1.0,3.0,3.0,3.3,2.5
ArunachalPradesh,2.2,2.3,2.2,2.3,2.3,2.2,2.2,1.8,1.8,2.2,2.3,2.0,2.5,2.5,2.2,2.1,2.2,1.0,1.0,2.0,2.6,2.4
Manipur,2.0,1.5,1.8,2.0,2.1,1.9,2.2,1.4,1.4,1.9,2.0,2.1,2.2,2.4,2.1,1.8,1.7,1.0,3.0,3.0,2.4,2.4
Mizoram,1.9,1.9,1.5,2.1,2.0,2.1,2.1,1.3,1.5,2.1,1.9,2.1,2.1,2.0,1.9,2.1,2.1,2.0,1.0,3.0,2.7,2.1
Nagaland,2.2,1.8,2.1,2.0,1.9,1.9,1.8,1.4,1.5,2.0,2.2,2.1,2.1,2.5,2.1,2.0,2.1,1.0,1.0,1.0,2.6,2.0
Delhi,3.7,3.6,3.6,3.3,3.4,3.5,3.7,2.4,2.3,3.5,3.5,3.6,3.4,3.6,3.2,3.1,3.3,2.0,2.0,4.0,3.8,3.4
Chandigarh,3.9,3.5,3.3,3.4,3.6,3.4,3.5,2.8,2.7,3.5,3.3,3.7,3.7,3.7,3.2,3.3,3.2,1.0,1.0,2.0,2.2,3.1